Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-04,0,0,1000,169342.2,Enxurradas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,73.04601899196494,12369.773557341126,2037,
2020-07-16,0,0,1150,81020.0,Enxurradas,2020/2021,14003.0,2020-07-08,69.0,21.5,22.19,86720000,53.48837209302326,3768.372093023256,2037,
2019-11-05,0,0,1150,134650.0,Enxurradas,2019/2020,6235.2,2019-11-05,1.97,1.95,1.95,86720000,589.7435897435897,69051.28205128205,2037,
2017-05-26,0,0,1791,758700.0,Enxurradas,2017/2018,5706.1,2017-06-08,1.77,1.73,1.72,86720000,1035.2601156069363,438554.9132947977,2037,
2010-12-10,0,0,0,0.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,,,2037,
2009-12-03,0,0,0,0.0,Enxurradas,2009/2010,9342.3,2009-09-12,3.45,4.63,4.69,86720000,,,2037,
2023-09-04,0,0,1000,169342.2,Enxurradas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,366.3003663003663,62030.109890109896,2037,Sim
2020-07-16,0,0,1150,81020.0,Enxurradas,2020/2021,1547.9,2020-07-08,86.0,55.63,30.08,86560000,20.6722991191803,1456.408412726946,2037,Sim
2019-11-05,0,0,1150,134650.0,Enxurradas,2019/2020,879.4,2019-11-05,3.31,3.17,3.27,86560000,362.77602523659306,42476.34069400631,2037,Sim
2017-05-26,0,0,1791,758700.0,Enxurradas,2017/2018,1252.0,2017-06-08,10.75,13.46,10.83,86560000,133.06092124814265,56367.013372956906,2037,Sim
2010-12-10,0,0,0,0.0,Enxurradas,2010/2011,1020.9,2010-01-05,4.78,5.19,5.06,86560000,,,2037,Sim
2009-12-03,0,0,0,0.0,Enxurradas,2009/2010,950.8,2009-09-12,3.74,4.02,4.06,86560000,,,2037,Sim
